sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	day	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	family	host_common_name	host_subject_id	host_taxid	house	house_day_subject_surface	house_day_surface	house_surface	latitude	latitude_deg	life_stage	longitude	longitude_deg	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_order	sample_scientific_name	sample_taxid	sample_type	sex	source	source1	sourcesink	subject	subject_surface	surface	time	title
2192.H01a.Bathroom.Door.Knob.102.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-14	GAZ:United States of America	D05	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D05.House_01a.Bathroom_Door_Knob	H01a.D05.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	78	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.126.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-15	GAZ:United States of America	D06	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D06.House_01a.Bathroom_Door_Knob	H01a.D06.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	96	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	8:20AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.150.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-16	GAZ:United States of America	D07	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D07.House_01a.Bathroom_Door_Knob	H01a.D07.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false	Jack in Vancouver	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	114	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.174.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-17	GAZ:United States of America	D08	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D08.House_01a.Bathroom_Door_Knob	H01a.D08.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false	Bag Metadata missing assuming 8:40pm, no cleaning	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	129	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.198.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-18	GAZ:United States of America	D09	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D09.House_01a.Bathroom_Door_Knob	H01a.D09.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false	Jack in Vancouver	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	144	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	8:45PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.222.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-19	GAZ:United States of America	D10	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D10.House_01a.Bathroom_Door_Knob	H01a.D10.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	159	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	8:00PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.246.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-21	GAZ:United States of America	D11	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D11.House_01a.Bathroom_Door_Knob	H01a.D11.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false	2 Guests - 1 Males, 1 Female	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	177	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	7:45am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.270.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-22	GAZ:United States of America	D12	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D12.House_01a.Bathroom_Door_Knob	H01a.D12.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	195	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	8:30am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.294.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-24	GAZ:United States of America	D13	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D13.House_01a.Bathroom_Door_Knob	H01a.D13.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	213	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.30.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-11	GAZ:United States of America	D02	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D02.House_01a.Bathroom_Door_Knob	H01a.D02.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	24	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	7:00AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.318.lane2.NoIndex.L002	0	0.0	H01a.Bathroom_Door_Knob				2012-02-26	GAZ:United States of America	D14	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D14.House_01a.Bathroom_Door_Knob	H01a.D14.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false	Turtle Tank Cleaned - By Kitchen Sink	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	231	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.54.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-12	GAZ:United States of America	D03	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D03.House_01a.Bathroom_Door_Knob	H01a.D03.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	42	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	7:45PM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.6.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-10	GAZ:United States of America	D01	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D01.House_01a.Bathroom_Door_Knob	H01a.D01.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	6	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	9:00AM	Gilbert_house_forensics_BE
2192.H01a.Bathroom.Door.Knob.78.lane1.NoIndex.L001	0	0.0	H01a.Bathroom_Door_Knob				2012-02-13	GAZ:United States of America	D04	0	0	H01a.Bathroom_Door_Knob	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D04.House_01a.Bathroom_Door_Knob	H01a.D04.Bathroom_Door_Knob	H01a.Bathroom_Door_Knob	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	60	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bathroom_Door_Knob	Bathroom_Door_Knob	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.100.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-14	GAZ:United States of America	D05	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D05.House_01a.Bedroom_Floor	H01a.D05.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	76	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.124.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-15	GAZ:United States of America	D06	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D06.House_01a.Bedroom_Floor	H01a.D06.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	94	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	8:20AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.148.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-16	GAZ:United States of America	D07	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D07.House_01a.Bedroom_Floor	H01a.D07.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false	Jack in Vancouver	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	112	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.172.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-17	GAZ:United States of America	D08	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D08.House_01a.Bedroom_Floor	H01a.D08.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false	Bag Metadata missing assuming 8:40pm, no cleaning	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	127	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	8:40PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.196.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-18	GAZ:United States of America	D09	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D09.House_01a.Bedroom_Floor	H01a.D09.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false	Jack in Vancouver	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	142	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	8:45PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.220.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-19	GAZ:United States of America	D10	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D10.House_01a.Bedroom_Floor	H01a.D10.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	157	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	8:00PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.244.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-21	GAZ:United States of America	D11	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D11.House_01a.Bedroom_Floor	H01a.D11.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false	2 Guests - 1 Males, 1 Female	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	175	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	7:45am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.268.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-22	GAZ:United States of America	D12	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D12.House_01a.Bedroom_Floor	H01a.D12.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	193	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	8:30am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.28.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-11	GAZ:United States of America	D02	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D02.House_01a.Bedroom_Floor	H01a.D02.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true				2192	22	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	7:00AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.292.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-24	GAZ:United States of America	D13	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D13.House_01a.Bedroom_Floor	H01a.D13.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	211	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.316.lane2.NoIndex.L002	0	0.0	H01a.unknown				2012-02-26	GAZ:United States of America	D14	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D14.House_01a.Bedroom_Floor	H01a.D14.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false	Turtle Tank Cleaned - By Kitchen Sink	2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	229	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	9:30am	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.4.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-10	GAZ:United States of America	D01	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D01.House_01a.Bedroom_Floor	H01a.D01.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	4	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	9:00AM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.52.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-12	GAZ:United States of America	D03	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D03.House_01a.Bedroom_Floor	H01a.D03.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	40	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	7:45PM	Gilbert_house_forensics_BE
2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001	0	0.0	H01a.unknown				2012-02-13	GAZ:United States of America	D04	0	0	H01a.unknown	true	181.32	181.32	True	EMP sample	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	dust	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	Not applicable		Not applicable	H01a	H01a.D04.House_01a.Bedroom_Floor	H01a.D04.Bedroom_Floor	H01a.Bedroom_Floor	41.88	41.88		-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Free-living	Non-saline	Surface (non-saline)	2192	58	indoor metagenome	1256227	XXQIITAXX		House	House	sink	House_01a	House_01a.Bedroom_Floor	Bedroom_Floor	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Foot.104.lane2.NoIndex.L002	0	0.0	H01a.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-02-14	GAZ:United States of America	D05	0	0	H01a.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	human	Person_01.1	9606	H01a	H01a.D05.Person_01.1.Foot	H01a.D05.Foot	H01a.Foot	41.88	41.88	adult	-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Host-associated	Animal	Animal surface	2192	80	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_01.1	Person_01.1.Foot	Foot	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Foot.107.lane2.NoIndex.L002	0	0.0	H01a.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-02-14	GAZ:United States of America	D05	0	0	H01a.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	human	Person_01.2	9606	H01a	H01a.D05.Person_01.2.Foot	H01a.D05.Foot	H01a.Foot	41.88	41.88	adult	-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Host-associated	Animal	Animal surface	2192	83	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_01.2	Person_01.2.Foot	Foot	7:30AM	Gilbert_house_forensics_BE
2192.H01a.Foot.11.lane1.NoIndex.L001	0	0.0	H01a.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-02-10	GAZ:United States of America	D01	0	0	H01a.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	human	Person_01.2	9606	H01a	H01a.D01.Person_01.2.Foot	H01a.D01.Foot	H01a.Foot	41.88	41.88	adult	-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Host-associated	Animal	Animal surface	2192	11	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_01.2	Person_01.2.Foot	Foot	9:00AM	Gilbert_house_forensics_BE
2192.H01a.Foot.110.lane2.NoIndex.L002	0	0.0	H01a.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-02-14	GAZ:United States of America	D05	0	0	H01a.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	1	human	Person_01.3	9606	H01a	H01a.D05.Person_01.3.Foot	H01a.D05.Foot	H01a.Foot	41.88	41.88	child	-87.63	-87.63		false		2	4	0.5	0.75	none	ANL	true	true	Host-associated	Animal	Animal surface	2192	86	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_01.3	Person_01.3.Foot	Foot	7:30AM	Gilbert_house_forensics_BE
