sample_name	age	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_time	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_common_name	host_subject_id	host_taxid	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	pregnant	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	temp	temperature_deg_c	title	tot_mass	weight_pounds
2300.BB.05.lavageRNA	1	years	0	0.0	3201	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-17	GAZ:United States of America	0	0	Black bear 05 lavage RNA	omnivore	TRUE	420.033	420.033	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.05	62692	47.48615	47.48615	-93.60536	-93.60536	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male	92.9	33.8333333333	Gut microbiome of hibernating bears	18.6	41
2300.BB.07.anus	1	years	0	0.0	4100	UBERON:feces	UBERON:feces	UBERON:feces	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 07 anus	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.07	62692	47.937	47.937	-95.986	-95.986	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	male		Not applicable	Gut microbiome of hibernating bears	39.92	88
2300.BB.07.colon	1	years	0	0.0	4100	UBERON:feces	UBERON:feces	UBERON:feces	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 07 colon	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.07	62692	47.937	47.937	-95.986	-95.986	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	male		Not applicable	Gut microbiome of hibernating bears	39.92	88
2300.BB.07.equip	1	years	0	0.0	4100	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 07 equipment	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.07	62692	47.937	47.937	-95.986	-95.986	UCSDMI	TRUE		TRUE				2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	39.92	88
2300.BB.07.lavage100	1	years	0	0.0	4100	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 07 lavage 100	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.07	62692	47.937	47.937	-95.986	-95.986	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	39.92	88
2300.BB.07.lavage20	1	years	0	0.0	4100	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 07 lavage 20	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.07	62692	47.937	47.937	-95.986	-95.986	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	39.92	88
2300.BB.07.lavageRNA	1	years	0	0.0	4100	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 07 lavage RNA	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.07	62692	47.937	47.937	-95.986	-95.986	UCSDMI	TRUE		TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	male		Not applicable	Gut microbiome of hibernating bears	39.92	88
2300.BB.08.anus	1	years	0	0.0	4101	UBERON:feces	UBERON:feces	UBERON:feces	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 08 anus	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.08	62692	47.93713	47.93713	-95.98628	-95.98628	UCSDMI	TRUE	no	TRUE	Host-associated	Animal	Animal distal gut	2300	gut metagenome	749906	stool	gut metagenome	female	97.2	36.2222222222	Gut microbiome of hibernating bears	31.75	70
2300.BB.08.colon	1	years	0	0.0	4101	UBERON:feces	UBERON:feces	UBERON:feces	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 08 colon	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.08	62692	47.93713	47.93713	-95.98628	-95.98628	UCSDMI	TRUE	no	TRUE				2300	gut metagenome	749906	stool	gut metagenome	female	97.2	36.2222222222	Gut microbiome of hibernating bears	31.75	70
2300.BB.08.equip	1	years	0	0.0	4101	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 08 equipment	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.08	62692	47.93713	47.93713	-95.98628	-95.98628	UCSDMI	TRUE	no	TRUE				2300	metagenomes	408169	lab equipment	indoor metagenome	female	97.2	36.2222222222	Gut microbiome of hibernating bears	31.75	70
2300.BB.08.lavage20	1	years	0	0.0	4101	Not applicable	Not applicable	Not applicable	1:30 PM	2013-12-18	GAZ:United States of America	0	0	Black bear 08 lavage 20	omnivore	TRUE	341.816	341.816	True	EMP sample	Host-associated	Animal	Animal distal gut	mixed forest biome	animal-associated habitat	anthropogenic environmental material	host-associated	biome	terrestrial biome	forest biome	mixed forest biome	Not applicable	Not applicable	TRUE	USA:MN	Not applicable	BB.08	62692	47.93713	47.93713	-95.98628	-95.98628	UCSDMI	TRUE	no	TRUE	Host-associated	Animal	Animal distal gut	2300	metagenomes	408169	lab equipment	indoor metagenome	female	97.2	36.2222222222	Gut microbiome of hibernating bears	31.75	70
